Keyword/phrase,Phrase type,Pages where used,Used in title count,Used in meta count,Used in H1 count,Used in H2/H3 count,Used in URL count,Used in alt text count,Used in schema count,Total occurrences,Intent category,Notes
carries a quiet luminosity,fourgram,/collection/midnight-kesari-cotton-drape,0,0,0,0,0,0,1,1,unknown,
carries a scattered,trigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
carries a scattered floral,fourgram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
carries both,bigram,/collection/brown-and-mustard-light-silk,0,0,0,0,0,0,1,1,unknown,
carries both in,trigram,/collection/brown-and-mustard-light-silk,0,0,0,0,0,0,1,1,unknown,
carries both in quiet,fourgram,/collection/brown-and-mustard-light-silk,0,0,0,0,0,0,1,1,unknown,
carries centuries,bigram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
carries centuries of,trigram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
carries centuries of symbolism,fourgram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
carries ceremony,bigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
carries ceremony in,trigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
carries ceremony in its,fourgram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
carries densely,bigram,/collection/tangerine-noir-floral-border-weave,0,0,0,0,0,0,1,1,unknown,
carries densely worked,trigram,/collection/tangerine-noir-floral-border-weave,0,0,0,0,0,0,1,1,unknown,
carries densely worked floral,fourgram,/collection/tangerine-noir-floral-border-weave,0,0,0,0,0,0,1,1,unknown,
carries depth,bigram,/collection/charcoal-gold-organza-heirloom-drape,0,0,0,0,0,0,1,1,unknown,
carries depth without,trigram,/collection/charcoal-gold-organza-heirloom-drape,0,0,0,0,0,0,1,1,unknown,
carries depth without heaviness,fourgram,/collection/charcoal-gold-organza-heirloom-drape,0,0,0,0,0,0,1,1,unknown,
carries its,bigram,/collection/autumn-ember-golden-leaf-cotton,0,0,0,0,0,0,1,1,unknown,
carries its season,trigram,/collection/autumn-ember-golden-leaf-cotton,0,0,0,0,0,0,1,1,unknown,
carries its season within,fourgram,/collection/autumn-ember-golden-leaf-cotton,0,0,0,0,0,0,1,1,unknown,
carries that ancient,trigram,/collection/forest-flame-tie-dye-silk,0,0,0,0,0,0,1,1,unknown,
carries that ancient grammar,fourgram,/collection/forest-flame-tie-dye-silk,0,0,0,0,0,0,1,1,unknown,
carries that energy,trigram,/collection/midnight-zari-georgette,0,0,0,0,0,0,1,1,unknown,
carries that energy it,fourgram,/collection/midnight-zari-georgette,0,0,0,0,0,0,1,1,unknown,
carries that exact hue,fourgram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
carries that exact quality,fourgram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
carries that exact warmth,fourgram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
carries that intention,trigram,/collection/nila-blue-gold-zari-silk,0,0,0,0,0,0,1,1,unknown,
carries that intention still,fourgram,/collection/nila-blue-gold-zari-silk,0,0,0,0,0,0,1,1,unknown,
carries that lived-in,trigram,/collection/brown-kapi-cotton-black-line-border,0,0,0,0,0,0,1,1,unknown,
carries that lived-in honesty,fourgram,/collection/brown-kapi-cotton-black-line-border,0,0,0,0,0,0,1,1,unknown,
carries that quality,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,1,1,unknown,
carries that quality in,fourgram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,1,1,unknown,
carries that same festive,fourgram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,occasion,
carries that same quality,fourgram,/collection/beige-organza-peach-bloom,0,0,0,0,0,0,1,1,unknown,
carries that same sensibility,fourgram,/collection/green-chiffon-with-fancy-border,0,0,0,0,0,0,1,1,unknown,
carries that same unhurried,fourgram,/collection/maroon-chettinad-cotton,0,0,0,0,0,0,1,1,unknown,
carries that same unpretentious,fourgram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,0,1,1,unknown,
carries that shipped,trigram,/collection/nila-blue-gold-zari-silk,0,1,0,0,0,0,0,1,unknown,
carries that shipped with,fourgram,/collection/nila-blue-gold-zari-silk,0,1,0,0,0,0,0,1,unknown,
carries that unmistakable,trigram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
carries that unmistakable vibrancy,fourgram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
carries that very,trigram,/collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,1,1,unknown,
carries that very colour,fourgram,/collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,1,1,unknown,
carries the hallmarks,trigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
carries the hallmarks of,fourgram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
carries the kind of,fourgram,/collection/blush-green-handwoven-cotton-drape,0,0,0,0,0,0,1,1,unknown,
carries the kind that,fourgram,/collection/tangerine-noir-floral-border-weave,0,0,0,0,0,0,1,1,unknown,
carries the quiet confidence,fourgram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
carries the quiet gravitas,fourgram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
carries the rhythm,trigram,/collection/maroon-chettinad-cotton,0,0,0,0,0,0,1,1,unknown,
carries the rhythm of,fourgram,/collection/maroon-chettinad-cotton,0,0,0,0,0,0,1,1,unknown,
carries the unmistakable pride,fourgram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
carries the weight,trigram,/collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carries the weight both,fourgram,/collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carry a,bigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
carry a complementary,trigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
carry a complementary border,fourgram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,utility,
carry are,bigram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carry are not,trigram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carry are not flaws,fourgram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carry classic,bigram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carry classic motifs,trigram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carry classic motifs woven,fourgram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
carry forward,bigram,/why,0,0,0,1,0,0,0,1,unknown,
carry the lightness,trigram,/collection/green-chiffon-with-fancy-border,0,0,0,0,0,0,1,1,unknown,
carry the lightness of,fourgram,/collection/green-chiffon-with-fancy-border,0,0,0,0,0,0,1,1,unknown,
carry the sacred,trigram,/collection/pink-katan-triangle-zari-edge,0,0,0,0,0,0,1,1,unknown,
carry the sacred at,fourgram,/collection/pink-katan-triangle-zari-edge,0,0,0,0,0,0,1,1,unknown,
carry understated,bigram,/collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,1,1,unknown,
carry understated detailing,trigram,/collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,1,1,unknown,
carry understated detailing allowing,fourgram,/collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,1,1,unknown,
carrying a,bigram,/collection/gulabi-kota-cotton,0,0,0,0,0,0,1,1,unknown,
carrying a little,trigram,/collection/gulabi-kota-cotton,0,0,0,0,0,0,1,1,unknown,
carrying a little celebration,fourgram,/collection/gulabi-kota-cotton,0,0,0,0,0,0,1,1,unknown,
carrying its,bigram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
carrying its years,trigram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
carrying its years with,fourgram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
carrying just,bigram,/collection/rose-vine-stripe-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
carrying just enough,trigram,/collection/rose-vine-stripe-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
carrying just enough depth,fourgram,/collection/rose-vine-stripe-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
carrying memories,bigram,/,0,0,0,0,0,1,0,1,unknown,
carrying memories and,trigram,/,0,0,0,0,0,1,0,1,unknown,
carrying memories and milestones,fourgram,/,0,0,0,0,0,1,0,1,unknown,
carrying the softness,trigram,/collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,1,1,unknown,
carrying the softness that,fourgram,/collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,1,1,unknown,
carrying the subtle,trigram,/collection/brown-kapi-cotton-black-line-border,0,0,0,0,0,0,1,1,unknown,
carrying the subtle texture,fourgram,/collection/brown-kapi-cotton-black-line-border,0,0,0,0,0,0,1,1,unknown,
carrying the weight,trigram,/collection/midnight-tribe-gold-border-cotton,0,0,0,0,0,0,1,1,unknown,
carrying the weight of,fourgram,/collection/midnight-tribe-gold-border-cotton,0,0,0,0,0,0,1,1,unknown,
catch light and hold,fourgram,/collection/midnight-kesari-cotton-drape,0,0,0,0,0,0,1,1,unknown,
catch light and memory,fourgram,/collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,1,1,unknown,
catches everything,bigram,/collection/twilight-orange-cotton-weave,0,0,0,0,0,0,1,1,unknown,
catches everything it,trigram,/collection/twilight-orange-cotton-weave,0,0,0,0,0,0,1,1,unknown,
catches everything it touches,fourgram,/collection/twilight-orange-cotton-weave,0,0,0,0,0,0,1,1,unknown,
catches light the,trigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
catches light the way,fourgram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
catches light with,trigram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
catches light with that,fourgram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
catching light this,trigram,/collection/reddish-mango-cotton-orange-border,0,0,0,0,0,0,1,1,unknown,
catching light this is,fourgram,/collection/reddish-mango-cotton-orange-border,0,0,0,0,0,0,1,1,unknown,
catching light with,trigram,/collection/midnight-zari-georgette,0,0,0,0,0,0,1,1,unknown,
catching light with each,fourgram,/collection/midnight-zari-georgette,0,0,0,0,0,0,1,1,unknown,
caught,unigram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
caught lamplight,bigram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
caught lamplight and,trigram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
caught lamplight and moved,fourgram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
celebration a,bigram,/collection/moonstone-cream-mauve-border-saree,0,0,0,0,0,0,1,1,unknown,
celebration a moment,trigram,/collection/moonstone-cream-mauve-border-saree,0,0,0,0,0,0,1,1,unknown,
celebration a moment that,fourgram,/collection/moonstone-cream-mauve-border-saree,0,0,0,0,0,0,1,1,unknown,
celebration with,bigram,/collection/gulabi-kota-cotton,0,0,0,0,0,0,1,1,unknown,
celebration with you,trigram,/collection/gulabi-kota-cotton,0,0,0,0,0,0,1,1,unknown,
celebration with you light,fourgram,/collection/gulabi-kota-cotton,0,0,0,0,0,0,1,1,unknown,
celebrations and,bigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
celebrations and is,trigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
celebrations and is ready,fourgram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
celebrations elegant,bigram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
celebrations elegant without,trigram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
celebrations elegant without effort,fourgram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
celebrations family,bigram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
celebrations family milestones,trigram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
celebrations family milestones it,fourgram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
celebrations folded,bigram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
celebrations folded with,trigram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
celebrations folded with care,fourgram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,trust,
celebrations of,bigram,/collection/forest-flame-tie-dye-silk,0,0,0,0,0,0,1,1,unknown,
celebrations of holi,trigram,/collection/forest-flame-tie-dye-silk,0,0,0,0,0,0,1,1,unknown,
celebrations of holi mornings,fourgram,/collection/forest-flame-tie-dye-silk,0,0,0,0,0,0,1,1,unknown,
celebrations that call,trigram,/collection/indigo-dusk-silk-cotton,0,0,0,0,0,0,1,1,unknown,
celebrations that call for,fourgram,/collection/indigo-dusk-silk-cotton,0,0,0,0,0,0,1,1,unknown,
celebrations that called,trigram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
celebrations that called for,fourgram,/collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,1,1,unknown,
celebrations this,bigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
celebrations this one,trigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
celebrations this one likely,fourgram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
celebrations where ease,trigram,/collection/midnight-kesari-cotton-drape,0,0,0,0,0,0,1,1,unknown,
celebrations where ease of,fourgram,/collection/midnight-kesari-cotton-drape,0,0,0,0,0,0,1,1,unknown,
celebrations where elegance,trigram,/collection/midnight-zari-georgette,0,0,0,0,0,0,1,1,unknown,
celebrations where elegance was,fourgram,/collection/midnight-zari-georgette,0,0,0,0,0,0,1,1,unknown,
celebrations where one,trigram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
celebrations where one wants,fourgram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
celebratory,unigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
celebratory without,bigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
celebratory without being,trigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
celebratory without being ceremonial,fourgram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
central,unigram,/collection/beige-organza-peach-bloom,0,0,0,0,0,0,1,1,unknown,
central india,bigram,/collection/beige-organza-peach-bloom,0,0,0,0,0,0,1,1,unknown,
central india carry,trigram,/collection/beige-organza-peach-bloom,0,0,0,0,0,0,1,1,unknown,
central india carry the,fourgram,/collection/beige-organza-peach-bloom,0,0,0,0,0,0,1,1,unknown,
centuries and,bigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
centuries and in,trigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
centuries and in this,fourgram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
centuries of royal,trigram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
centuries of royal association,fourgram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
centuries of symbolism,trigram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
centuries of symbolism woven,fourgram,/collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,1,1,unknown,
centuries the interplay,trigram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
centuries the interplay of,fourgram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
centuries the zari,trigram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,fabric,
centuries the zari work,fourgram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,fabric,
century,unigram,/collection/sunset-ombr-chiffon-draped-dream,0,0,0,0,0,0,1,1,unknown,
century when,bigram,/collection/sunset-ombr-chiffon-draped-dream,0,0,0,0,0,0,1,1,unknown,
century when ombré-dyed,trigram,/collection/sunset-ombr-chiffon-draped-dream,0,0,0,0,0,0,1,1,unknown,
century when ombré-dyed georgette,fourgram,/collection/sunset-ombr-chiffon-draped-dream,0,0,0,0,0,0,1,1,fabric,
ceremonial joyful,bigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
ceremonial joyful without,trigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
ceremonial joyful without being,fourgram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
ceremonial motifs,bigram,/collection/violet-bloom-cotton-drape,0,0,0,0,0,0,1,1,unknown,
ceremonial motifs of,trigram,/collection/violet-bloom-cotton-drape,0,0,0,0,0,0,1,1,unknown,
ceremonial motifs of a,fourgram,/collection/violet-bloom-cotton-drape,0,0,0,0,0,0,1,1,unknown,
ceremonial this,bigram,/collection/verdant-bloom-silk-burgundy-gold-border,0,0,0,0,0,0,1,1,unknown,
ceremonial this interplay,trigram,/collection/verdant-bloom-silk-burgundy-gold-border,0,0,0,0,0,0,1,1,unknown,
ceremonial this interplay of,fourgram,/collection/verdant-bloom-silk-burgundy-gold-border,0,0,0,0,0,0,1,1,unknown,
ceremony carried,bigram,/collection/kempu-pachai-and-bandhani,0,0,0,0,0,0,1,1,unknown,
ceremony carried in,trigram,/collection/kempu-pachai-and-bandhani,0,0,0,0,0,0,1,1,unknown,
ceremony carried in the,fourgram,/collection/kempu-pachai-and-bandhani,0,0,0,0,0,0,1,1,unknown,
ceremony in,bigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
ceremony in its,trigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
ceremony in its folds,fourgram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
ceremony of,bigram,/collection/pink-katan-triangle-zari-edge,0,0,0,0,0,0,1,1,unknown,
ceremony of a,trigram,/collection/pink-katan-triangle-zari-edge,0,0,0,0,0,0,1,1,unknown,
ceremony of a new,fourgram,/collection/pink-katan-triangle-zari-edge,0,0,0,0,0,0,1,1,unknown,
ceremony or,bigram,/collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,1,1,unknown,
ceremony or the,trigram,/collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,1,1,unknown,
ceremony or the quiet,fourgram,/collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,1,1,unknown,
ceremony where,bigram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
ceremony where the,trigram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
ceremony where the wearer,fourgram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
certain,unigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
certain ease,bigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
certain ease that,trigram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,unknown,
certain ease that silk,fourgram,/collection/magenta-cotton,0,0,0,0,0,0,1,1,fabric,
certainty,unigram,/collection/teal-blue-moody-silk-drape,0,0,0,0,0,0,1,1,unknown,
certainty and,bigram,/collection/teal-blue-moody-silk-drape,0,0,0,0,0,0,1,1,unknown,
certainty and become,trigram,/collection/teal-blue-moody-silk-drape,0,0,0,0,0,0,1,1,unknown,
certainty and become something,fourgram,/collection/teal-blue-moody-silk-drape,0,0,0,0,0,0,1,1,unknown,
chapter at,bigram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
chapter at its,trigram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
chapter at its original,fourgram,/collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,1,1,unknown,
chapter in,bigram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
chapter in the,trigram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
chapter in the hands,fourgram,/collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
character a,bigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
character a testament,trigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
character a testament to,fourgram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
character as,bigram,/collection/midnight-tribe-gold-border-cotton,0,0,0,0,0,0,1,1,unknown,
character as the,trigram,/collection/midnight-tribe-gold-border-cotton,0,0,0,0,0,0,1,1,unknown,
character as the cotton,fourgram,/collection/midnight-tribe-gold-border-cotton,0,0,0,0,0,0,1,1,fabric,
character gentle,bigram,/collection/midnight-kesari-cotton-drape,0,0,0,0,0,0,1,1,unknown,
character gentle reminders,trigram,/collection/midnight-kesari-cotton-drape,0,0,0,0,0,0,1,1,unknown,
character gentle reminders that,fourgram,/collection/midnight-kesari-cotton-drape,0,0,0,0,0,0,1,1,unknown,
character lightweight,bigram,/collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,1,1,unknown,
character lightweight yet,trigram,/collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,1,1,unknown,
character lightweight yet structured,fourgram,/collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,1,1,unknown,
character shipped,bigram,/collection/mustard-organza-brown-border-drape,0,1,0,0,0,0,0,1,unknown,
character shipped with,trigram,/collection/mustard-organza-brown-border-drape,0,1,0,0,0,0,0,1,unknown,
character shipped with provenance,fourgram,/collection/mustard-organza-brown-border-drape,0,1,0,0,0,0,0,1,trust,
character to,bigram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
character to a,trigram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
character to a textile,fourgram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
character were,bigram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,0,1,1,unknown,
character were wardrobe,trigram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,0,1,1,unknown,
character were wardrobe staples,fourgram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,0,1,1,unknown,
character with,bigram,/collection/violet-bloom-cotton-drape,0,0,0,0,0,0,1,1,unknown,
character with wear,trigram,/collection/violet-bloom-cotton-drape,0,0,0,0,0,0,1,1,unknown,
character with wear and,fourgram,/collection/violet-bloom-cotton-drape,0,0,0,0,0,0,1,1,unknown,
characteristic chettinad,bigram,/collection/maroon-chettinad-cotton,0,0,0,0,0,0,1,1,unknown,
characteristic chettinad style,trigram,/collection/maroon-chettinad-cotton,0,0,0,0,0,0,1,1,unknown,
characteristic chettinad style where,fourgram,/collection/maroon-chettinad-cotton,0,0,0,0,0,0,1,1,unknown,
characteristic crêpe,bigram,/collection/midnight-garden-georgette-saree,0,0,0,0,0,0,1,1,unknown,
characteristic crêpe texture,trigram,/collection/midnight-garden-georgette-saree,0,0,0,0,0,0,1,1,unknown,
characteristic crêpe texture and,fourgram,/collection/midnight-garden-georgette-saree,0,0,0,0,0,0,1,1,unknown,
characteristic heft,bigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
characteristic heft and,trigram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
characteristic heft and lustre,fourgram,/collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,1,1,unknown,
characteristic softness and translucence,fourgram,/collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,1,1,unknown,
characteristic softness and translucency,fourgram,/collection/tangerine-noir-floral-border-weave,0,0,0,0,0,0,1,1,unknown,
characteristic warmth,bigram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
characteristic warmth that,trigram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
characteristic warmth that distinguishes,fourgram,/collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,1,1,unknown,
charcoal gold organza heirloom drape,exact phrase,/collection/charcoal-gold-organza-heirloom-drape,0,0,1,0,0,0,0,1,product,
charcoal gold organza heirloom drape – pre-loved organza saree | from the trunk,exact phrase,/collection/charcoal-gold-organza-heirloom-drape,1,0,0,0,0,0,0,1,brand,
charcoal is a,trigram,/collection/charcoal-gold-organza-heirloom-drape,0,0,0,0,0,0,1,1,unknown,
charcoal is a deliberate,fourgram,/collection/charcoal-gold-organza-heirloom-drape,0,0,0,0,0,0,1,1,unknown,
charcoal is the,trigram,/collection/charcoal-gold-organza-heirloom-drape,0,0,0,0,0,0,1,1,unknown,
charcoal is the colour,fourgram,/collection/charcoal-gold-organza-heirloom-drape,0,0,0,0,0,0,1,1,unknown,
charm and,bigram,/collection/indigo-dusk-silk-cotton,0,0,0,0,0,0,1,1,unknown,
charm and timeless,trigram,/collection/indigo-dusk-silk-cotton,0,0,0,0,0,0,1,1,unknown,
charm and timeless elegance,fourgram,/collection/indigo-dusk-silk-cotton,0,0,0,0,0,0,1,1,unknown,
charm giving,bigram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
charm giving it,trigram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
charm giving it that,fourgram,/collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,1,1,unknown,
charm of,bigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
charm of a,trigram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,unknown,
charm of a saree,fourgram,/collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,1,1,product,
check before,bigram,/policies/authentication-condition-policy,0,0,0,1,0,0,0,1,unknown,
check before dispatch,trigram,/policies/authentication-condition-policy,0,0,0,1,0,0,0,1,unknown,
check cotton a,trigram,/collection/red-blue-madras-check-cotton,0,1,0,0,0,0,0,1,fabric,
check cotton a one-of-a-kind,fourgram,/collection/red-blue-madras-check-cotton,0,1,0,0,0,0,0,1,fabric,
check cotton shown,trigram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,1,0,1,fabric,
check cotton shown as,fourgram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,1,0,1,fabric,
check is,bigram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,0,1,1,unknown,
check is perhaps,trigram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,0,1,1,unknown,
check is perhaps the,fourgram,/collection/red-blue-madras-check-cotton,0,0,0,0,0,0,1,1,unknown,
checked and,bigram,/collection/fabric/chiffon,0,1,0,0,0,0,0,1,unknown,
