Issue ID,Severity,Category,URL,File path,Issue,Evidence,Why it matters,Recommended fix,Safe before production?,Requires business decision?
RND-038,Low,title,/collection/green-chiffon-with-fancy-border,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,75 characters: Mint Chiffon Garden Border Saree – Pre-Loved Chiffon Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-039,Low,title,/collection/midnight-zari-georgette,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,80 characters: Midnight Gold Embroidered Georgette – Pre-Loved Georgette Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-040,Low,title,/collection/pressed-bloom-sheer-chiffon,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,70 characters: Pressed Bloom Sheer Chiffon – Pre-Loved Chiffon Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-041,Low,title,/collection/burnt-orange-temple-border-kanjivaram,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,85 characters: Kanchipuram Burnt Orange Heirloom Silk – Pre-Loved Kanjeevaram Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-042,Low,title,/collection/semmanjal-turmeric-gold-kanjeevaram,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,67 characters: Semmanjal kanjivaram – Pre-Loved Kanjeevaram Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-043,Low,title,/collection/thangam-golden-weave-kanjivaram,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,78 characters: Thangam Golden Weave Kanjivaram – Pre-Loved Kanjeevaram Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-044,Low,title,/collection/violet-bloom-cotton-drape,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,70 characters: Violet Bloom Cotton Drape – Pre-Loved Georgette Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-045,Low,title,/collection/heritage-zari-border-kanjivaram,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,76 characters: Classic Gold Weave Kanjivaram – Pre-Loved Kanjeevaram Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-046,Low,title,/collection/colorful-vintage-kanjeevaram,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,75 characters: Colorful Vintage Kanjeevaram – Pre-Loved Kanjeevaram Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-050,Low,meta,/collection/stretchfit-blouse,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Meta-description length is outside the audit guideline.,66 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-051,Low,meta,/collection/stretchfit-blouse-1,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Meta-description length is outside the audit guideline.,66 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-052,Low,meta,/collection/sleeveless-cerise-pink-stretchfit-blouse,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Meta-description length is outside the audit guideline.,66 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-053,Low,meta,/collection/sleeveless-marigold-orange-stretchfit,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Meta-description length is outside the audit guideline.,66 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-054,Low,meta,/collection/sleeveless-black-stretchfit,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Meta-description length is outside the audit guideline.,66 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-057,Low,title,/collection/coral-sunrise-chiffon-georgette-saree,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,77 characters: Coral Sunrise Chiffon Georgette Saree – Pre-Loved Silk Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
SRC-013,Low,geo,Sitewide Organization schema,lib/seo/json-ld.ts:81,Organization sameAs contains Instagram only while the footer exposes additional social profiles.,"LinkedIn, Facebook, X, and Threads links are present in the footer source.","Verified entity links can strengthen brand consistency, but unverified profiles must not be asserted.","After ownership verification, align Organization sameAs with approved official profiles.",no,yes
SRC-014,Low,H1,/our-team,components/sections/founders-page-client.tsx:334,The page title says Our Team while the visible H1 says Our Founders.,Rendered semantics target different entity scopes.,Title/H1 alignment helps users and search engines understand the page consistently.,Choose the intended scope (team or founders) and align route copy and metadata after editorial approval.,no,yes
