URL,Image src,Image file/source,Alt text,Alt text missing?,Decorative image?,Width/height if available,Lazy loading,Product image?,Open Graph image?,Issue,Recommendation
/collection/mustard-organza-brown-border-drape,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vbXVzdGFyZC1vcmdhbnphLWJyb3duLWJvcmRlci1kcmFwZQ-image-12,"Sleeveless Cerise Pink StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-1,,no,yes,180x100,eager,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-2,From the Trunk,no,no/unknown,176x70,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-3,,no,yes,520x400,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870905835-img-7360.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-4,,no,yes,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870927846-img-7349.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-5,,no,yes,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870947794-img-7364.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-6,,no,yes,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870966647-img-7353.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-7,,no,yes,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870972987-img-7355.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-8,,no,yes,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870905835-img-7360.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-9,"Charcoal gold organza heirloom drape shown as a pre-loved saree, Organza",no,no/unknown,?x?,eager/unspecified,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776948128636-img-6496.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-10,"Moonstone Cream Mauve Border Saree, pre-loved Organza saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782819027130-image-2-edited.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-11,"StretchFit Blouse, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-12,"StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/charcoal-gold-organza-heirloom-drape,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vY2hhcmNvYWwtZ29sZC1vcmdhbnphLWhlaXJsb29tLWRyYXBl-image-13,"Sleeveless Cerise Pink StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-1,,no,yes,180x100,eager,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-2,From the Trunk,no,no/unknown,176x70,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-3,,no,yes,520x400,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870590822-img-7410.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-4,,no,yes,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870619202-img-7421.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-5,,no,yes,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870665404-img-7413.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-6,,no,yes,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870672110-img-7416.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-7,,no,yes,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870679399-img-7417.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-8,,no,yes,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776870590822-img-7410.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-9,"Beige Organza Peach Bloom Print shown as a pre-loved saree, Organza",no,no/unknown,?x?,eager/unspecified,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776948128636-img-6496.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-10,"Moonstone Cream Mauve Border Saree, pre-loved Organza saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782819027130-image-2-edited.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-11,"StretchFit Blouse, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-12,"StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/beige-organza-peach-bloom,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vYmVpZ2Utb3JnYW56YS1wZWFjaC1ibG9vbQ-image-13,"Sleeveless Cerise Pink StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-1,,no,yes,180x100,eager,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-2,From the Trunk,no,no/unknown,176x70,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-3,,no,yes,520x400,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776861296387-img-7215-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-4,,no,yes,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776861313525-img-7198-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-5,,no,yes,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776861335001-img-7203-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-6,,no,yes,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776861366167-img-7211-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-7,,no,yes,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776861377677-img-7213-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-8,,no,yes,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776861409099-img-7201-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-9,,no,yes,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776861296387-img-7215-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-10,"Maroon chettinad cotton shown as a pre-loved saree, Cotton",no,no/unknown,?x?,eager/unspecified,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782819027130-image-2-edited.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-11,"StretchFit Blouse, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-12,"Sleeveless Cerise Pink StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782805475761-chatgpt-image-jun-30-2026-12-55-15-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-13,"Sleeveless Black StretchFit, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/maroon-chettinad-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vbWFyb29uLWNoZXR0aW5hZC1jb3R0b24-image-14,"StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-1,,no,yes,180x100,eager,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-2,From the Trunk,no,no/unknown,176x70,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-3,,no,yes,520x400,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776860582137-img-7165-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-4,,no,yes,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776860659613-img-7161-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-5,,no,yes,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776860957055-img-7174-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-6,,no,yes,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776860968077-img-7164-3.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-7,,no,yes,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776860980905-img-7165-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-8,,no,yes,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776860995714-img-7168-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-9,,no,yes,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776860582137-img-7165-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-10,"Deep wine organza shown as a pre-loved saree, Organza",no,no/unknown,?x?,eager/unspecified,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776948128636-img-6496.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-11,"Moonstone Cream Mauve Border Saree, pre-loved Organza saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782819027130-image-2-edited.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-12,"StretchFit Blouse, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-13,"StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/deep-wine-organza,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vZGVlcC13aW5lLW9yZ2FuemE-image-14,"Sleeveless Cerise Pink StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-1,,no,yes,180x100,eager,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-2,From the Trunk,no,no/unknown,176x70,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-3,,no,yes,520x400,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776859793015-img-7192-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-4,,no,yes,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776859724403-img-7181-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-5,,no,yes,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776859639555-img-7176-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-6,,no,yes,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776859671066-img-7177-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-7,,no,yes,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776859698265-img-7195-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-8,,no,yes,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776859793015-img-7192-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-9,"Indigo Dusk shown as a pre-loved saree, Cotton",no,no/unknown,?x?,eager/unspecified,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782819027130-image-2-edited.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-10,"StretchFit Blouse, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-11,"Sleeveless Cerise Pink StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782805475761-chatgpt-image-jun-30-2026-12-55-15-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-12,"Sleeveless Black StretchFit, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/indigo-dusk-silk-cotton,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png&w=1920&q=70,page-L2NvbGxlY3Rpb24vaW5kaWdvLWR1c2stc2lsay1jb3R0b24-image-13,"StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,yes/likely,no,,
/collection/reddish-mango-cotton-orange-border,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24vcmVkZGlzaC1tYW5nby1jb3R0b24tb3JhbmdlLWJvcmRlcg-image-1,,no,yes,180x100,eager,yes/likely,no,,
/collection/reddish-mango-cotton-orange-border,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbGxlY3Rpb24vcmVkZGlzaC1tYW5nby1jb3R0b24tb3JhbmdlLWJvcmRlcg-image-2,From the Trunk,no,no/unknown,176x70,lazy,yes/likely,no,,
/collection/reddish-mango-cotton-orange-border,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24vcmVkZGlzaC1tYW5nby1jb3R0b24tb3JhbmdlLWJvcmRlcg-image-3,,no,yes,520x400,lazy,yes/likely,no,,
/collection/reddish-mango-cotton-orange-border,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776781387196-img-7443-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vcmVkZGlzaC1tYW5nby1jb3R0b24tb3JhbmdlLWJvcmRlcg-image-4,,no,yes,?x?,lazy,yes/likely,no,,
/collection/reddish-mango-cotton-orange-border,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776781420415-img-7441-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vcmVkZGlzaC1tYW5nby1jb3R0b24tb3JhbmdlLWJvcmRlcg-image-5,,no,yes,?x?,lazy,yes/likely,no,,
/collection/reddish-mango-cotton-orange-border,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776781428382-img-7442-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vcmVkZGlzaC1tYW5nby1jb3R0b24tb3JhbmdlLWJvcmRlcg-image-6,,no,yes,?x?,lazy,yes/likely,no,,
/collection/reddish-mango-cotton-orange-border,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776781433897-img-7438-2.jpg&w=1920&q=75,page-L2NvbGxlY3Rpb24vcmVkZGlzaC1tYW5nby1jb3R0b24tb3JhbmdlLWJvcmRlcg-image-7,,no,yes,?x?,lazy,yes/likely,no,,
